wave,half_width_A,ew_synth,ew_obs,ratio
4800.649,0.3,81.14710101520015,72.5,1.119270358830347
4800.649,0.45,81.69641034508699,72.5,1.1268470392425791
4800.649,0.6,120.03280160721269,72.5,1.6556248497546577
4800.649,0.8,121.7650162831222,72.5,1.6795174659740992
4800.649,1.0,129.87594650329805,72.5,1.7913923655627317
4800.649,1.4,188.69061804375434,72.5,2.6026292143966114
4977.648,0.3,28.860554535876307,35.8,0.8061607412255952
4977.648,0.45,29.254842841242006,35.8,0.8171743810402795
4977.648,0.6,31.74346073317054,35.8,0.8866888472952665
4977.648,0.8,39.591570127469275,35.8,1.105909780096907
4977.648,1.0,77.7626942999835,35.8,2.1721422988822208
4977.648,1.4,155.03522951569727,35.8,4.330593003231767
4991.268,0.3,79.58095968527029,107.1,0.7430528448671362
4991.268,0.45,81.70378199453694,107.1,0.7628737814615961
4991.268,0.6,97.87015545675028,107.1,0.9138203123879579
4991.268,0.8,117.790056795566,107.1,1.099813788940859
4991.268,1.0,118.56247935881925,107.1,1.107025951062738
4991.268,1.4,119.96173966517492,107.1,1.1200909399175996
5222.395,0.3,19.02557446372296,25.5,0.7461009593616847
5222.395,0.45,19.01951963006799,25.5,0.745863514904627
5222.395,0.6,19.257181126016796,25.5,0.7551835735692861
5222.395,0.8,42.95953687505409,25.5,1.6846877205903565
5222.395,1.0,80.11808683000093,25.5,3.1418857580392525
5222.395,1.4,107.18224417085794,25.5,4.203225261602272
5267.269,0.3,51.7961415999439,33.6,1.5415518333316636
5267.269,0.45,74.64189350038902,33.6,2.221484925606816
5267.269,0.6,115.30751953613927,33.6,3.4317714147660494
5267.269,0.8,232.08056925047393,33.6,6.9071597991212474
5267.269,1.0,281.74690541481584,33.6,8.385324565917138
5267.269,1.4,325.39808631431566,33.6,9.684466854592728
5398.279,0.3,80.07110591366873,75.1,1.0661931546427261
5398.279,0.45,88.11670107812803,75.1,1.1733249144890552
5398.279,0.6,93.38840947112412,75.1,1.2435207652613067
5398.279,0.8,126.1580323591664,75.1,1.679867275088767
5398.279,1.0,153.3075622133939,75.1,2.0413789908574422
5398.279,1.4,356.52744872130324,75.1,4.747369490296981
5472.709,0.3,37.22112355841057,46.1,0.80739964334947
5472.709,0.45,42.57171655407979,46.1,0.923464567333618
5472.709,0.6,58.099552709050386,46.1,1.260293985011939
