element,wave_A,lower_state_eV,loggf,theoretical_depth,reference_code
Cr 1,3056.434,3.5558,-1.58,0.034,VALD3
Fe 1,3056.577,3.0385,-1.966,0.872,VALD3
Ta 2,3056.577,2.1364,0.304,0.016,VALD3
Cr 2,3056.58,6.421,0.023,0.267,VALD3
Mn 1,3056.581,3.0722,-3.654,0.002,VALD3
Ta 2,3056.583,2.1364,-0.683,0.016,VALD3
Ta 2,3056.584,2.1364,-0.683,0.016,VALD3
Ta 2,3056.59,2.1364,0.146,0.016,VALD3
Ta 2,3056.596,2.1364,-0.473,0.016,VALD3
Ta 2,3056.597,2.1364,-0.473,0.016,VALD3
Ta 2,3056.602,2.1364,-0.03,0.016,VALD3
Ta 2,3056.607,2.1364,-0.4,0.016,VALD3
Ta 2,3056.608,2.1364,-0.4,0.016,VALD3
Ta 2,3056.613,2.1364,-0.229,0.016,VALD3
Ta 2,3056.617,2.1364,-0.397,0.016,VALD3
Ta 2,3056.618,2.1364,-0.397,0.016,VALD3
Ta 2,3056.622,2.1364,-0.453,0.016,VALD3
Ta 2,3056.625,2.1364,-0.447,0.016,VALD3
Ta 2,3056.626,2.1364,-0.447,0.016,VALD3
Ta 2,3056.629,2.1364,-0.696,0.016,VALD3
Ta 2,3056.631,2.1364,-0.561,0.016,VALD3
Cr 2,3056.631,4.0712,-1.917,0.342,VALD3
Ta 2,3056.632,2.1364,-0.561,0.016,VALD3
Ta 2,3056.634,2.1364,-0.926,0.016,VALD3
Ta 2,3056.635,2.1364,-0.79,0.016,VALD3
Ta 2,3056.636,2.1364,-0.79,0.016,VALD3
Ta 2,3056.637,2.1364,-0.937,0.016,VALD3
Co 1,3056.645,2.0802,-3.438,0.282,VALD3
Co 1,3056.648,2.0802,-3.05,0.282,VALD3
Co 1,3056.649,2.0802,-3.183,0.282,VALD3
Fe 1,3056.651,2.1979,-4.5,0.097,VALD3
Co 1,3056.651,2.0802,-3.468,0.282,VALD3
Lu 2,3056.654,1.7604,-1.717,0.042,VALD3
Co 1,3056.654,2.0802,-2.795,0.282,VALD3
Co 1,3056.654,2.0802,-2.995,0.282,VALD3
Co 1,3056.658,2.0802,-3.438,0.282,VALD3
Lu 2,3056.66,1.7604,-1.638,0.042,VALD3
Lu 2,3056.661,1.7604,-1.814,0.042,VALD3
Co 1,3056.661,2.0802,-2.904,0.282,VALD3
Co 1,3056.662,2.0802,-2.597,0.282,VALD3
Co 1,3056.667,2.0802,-3.489,0.282,VALD3
Co 1,3056.671,2.0802,-2.882,0.282,VALD3
Lu 2,3056.672,1.7604,-1.96,0.042,VALD3
Lu 2,3056.672,1.7604,-1.939,0.042,VALD3
Co 1,3056.672,2.0802,-2.433,0.282,VALD3
Lu 2,3056.672,1.7604,-1.455,0.042,VALD3
Co 1,3056.678,2.0802,-3.614,0.282,VALD3
Co 1,3056.683,2.0802,-2.936,0.282,VALD3
Co 1,3056.685,2.0803,-2.292,0.282,VALD3
Lu 2,3056.687,1.7604,-2.194,0.042,VALD3
Lu 2,3056.689,1.7604,-1.396,0.042,VALD3
Lu 2,3056.689,1.7604,-1.521,0.042,VALD3
Co 1,3056.693,2.0802,-3.836,0.282,VALD3
Co 1,3056.698,2.0803,-3.132,0.282,VALD3
Lu 2,3056.706,1.7604,-2.612,0.042,VALD3
Mn 2,3056.708,6.6452,-1.052,0.012,VALD3
Co 1,3056.709,2.0803,-4.246,0.282,VALD3
Lu 2,3056.71,1.7604,-1.429,0.042,VALD3
Lu 2,3056.712,1.7604,-1.25,0.042,VALD3
Lu 2,3056.736,1.7605,-1.612,0.042,VALD3
Ti 2,3056.738,1.161,-0.79,0.964,VALD3
Lu 2,3056.74,1.7605,-1.043,0.042,VALD3
Ce 2,3056.773,0.3275,-0.51,0.151,VALD3
Lu 2,3056.774,1.7605,-0.872,0.042,VALD3
Fe 2,3056.801,4.0761,-1.556,0.861,VALD3
Cr 2,3056.947,4.2937,-3.017,0.026,VALD3
Dy 2,3056.965,1.8468,0.402,0.06,VALD3
Mn 1,3056.987,3.7706,-1.642,0.042,VALD3
Fe 1,3056.997,3.3965,-2.068,0.74,VALD3
Hf 1,3057.009,0.5663,-0.07,0.017,VALD3
Ti 1,3057.041,1.4298,-2.802,0.008,VALD3
V 2,3057.057,2.4676,-1.798,0.156,VALD3
V 2,3057.064,2.4676,-1.895,0.156,VALD3
V 2,3057.07,2.4676,-2.02,0.156,VALD3
Al 1,3057.144,3.6132,-0.2,0.829,VALD3
Ti 2,3057.164,5.4232,-1.523,0.003,VALD3
Ti 1,3057.174,1.4601,-3.03,0.005,VALD3
Ta 2,3057.192,1.8078,0.257,0.026,VALD3
Ta 2,3057.202,1.8078,-0.672,0.026,VALD3
Ta 2,3057.209,1.8078,-1.885,0.026,VALD3
Fe 1,3057.21,2.2227,-5.947,0.004,VALD3
Ta 2,3057.217,1.8078,0.136,0.026,VALD3
Zr 2,3057.221,1.0108,-0.88,0.427,VALD3
Ta 2,3057.224,1.8078,-0.467,0.026,VALD3
Ta 2,3057.23,1.8078,-1.482,0.026,VALD3
Ta 2,3057.236,1.8078,0.0,0.026,VALD3
Ta 2,3057.243,1.8078,-0.401,0.026,VALD3
Ta 2,3057.247,1.8078,-1.27,0.026,VALD3
Ti 2,3057.249,4.054,-0.07,0.553,VALD3
Ta 2,3057.252,1.8078,-0.156,0.026,VALD3
Ta 2,3057.257,1.8078,-0.405,0.026,VALD3
Ta 2,3057.26,1.8078,-1.16,0.026,VALD3
Ta 2,3057.264,1.8078,-0.341,0.026,VALD3
Ta 2,3057.268,1.8078,-0.466,0.026,VALD3
Fe 2,3057.268,3.8916,-3.749,0.119,VALD3
Ta 2,3057.27,1.8078,-1.139,0.026,VALD3
Ta 2,3057.273,1.8079,-0.575,0.026,VALD3
Ir 1,3057.275,0.8811,-1.24,0.032,VALD3
Ta 2,3057.275,1.8079,-0.588,0.026,VALD3
Ta 2,3057.276,1.8079,-1.248,0.026,VALD3
Ta 2,3057.278,1.8079,-0.917,0.026,VALD3
Ta 2,3057.279,1.8079,-0.771,0.026,VALD3
Fe 1,3057.324,3.274,-4.576,0.009,VALD3
Ti 2,3057.392,0.0,-1.83,0.976,VALD3
Fe 1,3057.445,0.859,-0.404,0.994,VALD3
Ti 1,3057.502,1.9807,-2.73,0.003,VALD3
Sc 1,3057.506,0.0,-4.232,0.004,VALD3
Sc 1,3057.507,0.0,-3.931,0.004,VALD3
Sc 1,3057.507,0.0,-3.931,0.004,VALD3
Sc 1,3057.508,0.0,-3.793,0.004,VALD3
Sc 1,3057.509,0.0,-3.767,0.004,VALD3
Sc 1,3057.509,0.0,-4.107,0.004,VALD3
Sc 1,3057.51,0.0,-3.51,0.004,VALD3
Sc 1,3057.511,0.0,-3.759,0.004,VALD3
Sc 1,3057.512,0.0,-4.357,0.004,VALD3
Sc 1,3057.513,0.0,-3.294,0.004,VALD3
Sc 1,3057.514,0.0,-3.92,0.004,VALD3
Sc 1,3057.515,0.0,-4.785,0.004,VALD3
Ti 1,3057.536,2.0922,-2.955,0.001,VALD3
Mo 1,3057.556,2.2601,-0.733,0.002,VALD3
Fe 1,3057.583,3.2657,-3.522,0.09,VALD3
Ni 1,3057.592,1.8261,-4.82,0.014,VALD3
Ni 1,3057.598,1.8262,-5.234,0.005,VALD3
Mn 2,3057.632,3.9379,-2.93,0.036,VALD3
Co 1,3057.635,2.5418,-2.756,0.038,VALD3
Th 2,3057.637,0.7648,-1.314,0.002,VALD3
Ni 1,3057.639,0.2124,-0.537,0.994,VALD3
Ni 1,3057.64,0.2124,-0.951,0.993,VALD3
Ni 1,3057.641,0.2124,-2.313,0.979,VALD3
Ni 1,3057.642,0.2124,-1.809,0.987,VALD3
Ni 1,3057.643,0.2124,-2.403,0.977,VALD3
Co 1,3057.649,2.5418,-2.972,0.038,VALD3
Co 1,3057.652,2.5418,-3.382,0.038,VALD3
Co 1,3057.661,2.5418,-3.255,0.038,VALD3
Co 1,3057.663,2.5418,-3.221,0.038,VALD3
Co 1,3057.666,2.5418,-4.247,0.038,VALD3
Co 1,3057.671,2.5418,-3.694,0.038,VALD3
Co 1,3057.673,2.5418,-3.229,0.038,VALD3
Co 1,3057.675,2.5418,-3.819,0.038,VALD3
Co 1,3057.68,2.5418,-3.393,0.038,VALD3
Co 1,3057.681,2.5418,-3.569,0.038,VALD3
Co 1,3057.685,2.5418,-3.393,0.038,VALD3
Fe 1,3057.701,3.4149,-3.833,0.035,VALD3
Mn 1,3057.729,3.7716,-2.754,0.003,VALD3
Fe 1,3057.788,0.9582,-3.097,0.959,VALD3
Cr 2,3057.854,4.3163,-1.228,0.592,VALD3
