wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,telluric_ratio
4299.795399,23256.9206,23250.5753,0.62389
4299.804876,23256.8693,23250.524,0.75031
4299.814353,23256.818,23250.4728,0.80705
4299.82383,23256.7668,23250.4215,0.83705
4299.833307,23256.7155,23250.3703,0.87089
4299.842784,23256.6643,23250.319,0.88603
4299.852261,23256.613,23250.2678,0.88985
4299.861738,23256.5617,23250.2165,0.89815
4299.871216,23256.5105,23250.1653,0.89851
4299.880693,23256.4592,23250.114,0.88961
4299.89017,23256.408,23250.0628,0.87633
4299.899647,23256.3567,23250.0116,0.84841
4299.909124,23256.3055,23249.9603,0.82304
4299.918601,23256.2542,23249.9091,0.83517
4299.928078,23256.2029,23249.8578,0.86459
4299.937555,23256.1517,23249.8066,0.86461
4299.947032,23256.1004,23249.7553,0.84437
4299.956509,23256.0492,23249.7041,0.83539
4299.965986,23255.9979,23249.6529,0.82882
4299.975464,23255.9467,23249.6016,0.81612
4299.984941,23255.8954,23249.5504,0.81504
4299.994418,23255.8441,23249.4991,0.81407
4300.003895,23255.7929,23249.4479,0.78561
4300.013372,23255.7416,23249.3967,0.74717
4300.022849,23255.6904,23249.3454,0.70276
4300.032326,23255.6391,23249.2942,0.60194
4300.041803,23255.5879,23249.2429,0.47482
4300.05128,23255.5366,23249.1917,0.45987
4300.060757,23255.4854,23249.1405,0.58589
4300.070234,23255.4341,23249.0892,0.71713
4300.079712,23255.3829,23249.038,0.77736
4300.089189,23255.3316,23248.9867,0.81657
4300.098666,23255.2803,23248.9355,0.85784
4300.108143,23255.2291,23248.8843,0.87749
4300.11762,23255.1778,23248.833,0.88775
4300.127097,23255.1266,23248.7818,0.90407
4300.136574,23255.0753,23248.7305,0.91123
4300.146051,23255.0241,23248.6793,0.91137
4300.155528,23254.9728,23248.6281,0.919
4300.165005,23254.9216,23248.5768,0.92543
4300.174483,23254.8703,23248.5256,0.9255
4300.18396,23254.8191,23248.4743,0.92749
4300.193437,23254.7678,23248.4231,0.92701
4300.202914,23254.7166,23248.3719,0.92199
4300.212391,23254.6653,23248.3206,0.92156
4300.221868,23254.6141,23248.2694,0.91994
4300.231345,23254.5628,23248.2182,0.91019
4300.240822,23254.5116,23248.1669,0.90293
4300.250299,23254.4603,23248.1157,0.89657
4300.259776,23254.4091,23248.0645,0.87983
4300.269253,23254.3578,23248.0132,0.86166
4300.278731,23254.3066,23247.962,0.84488
4300.288208,23254.2553,23247.9108,0.81448
4300.297685,23254.2041,23247.8595,0.77668
4300.307162,23254.1528,23247.8083,0.7394
4300.316639,23254.1016,23247.7571,0.68192
4300.326116,23254.0503,23247.7058,0.60428
4300.335593,23253.9991,23247.6546,0.52078
4300.34507,23253.9479,23247.6034,0.39785
4300.354547,23253.8966,23247.5521,0.24036
4300.364024,23253.8454,23247.5009,0.17558
4300.373501,23253.7941,23247.4497,0.28189
4300.382979,23253.7429,23247.3984,0.45288
4300.392456,23253.6916,23247.3472,0.56957
4300.401933,23253.6404,23247.296,0.64332
4300.41141,23253.5891,23247.2447,0.70876
4300.420887,23253.5379,23247.1935,0.75228
4300.430364,23253.4866,23247.1423,0.7741
4300.439841,23253.4354,23247.091,0.79098
4300.449318,23253.3841,23247.0398,0.803
4300.458795,23253.3329,23246.9886,0.81761
4300.468272,23253.2817,23246.9373,0.84648
4300.47775,23253.2304,23246.8861,0.87528
4300.487227,23253.1792,23246.8349,0.89086
4300.496704,23253.1279,23246.7837,0.90386
4300.506181,23253.0767,23246.7324,0.91823
4300.515658,23253.0254,23246.6812,0.92605
4300.525135,23252.9742,23246.63,0.93013
4300.534612,23252.923,23246.5787,0.93494
4300.544089,23252.8717,23246.5275,0.93435
4300.553566,23252.8205,23246.4763,0.92464
4300.563043,23252.7692,23246.4251,0.90739
4300.57252,23252.718,23246.3738,0.88087
4300.581998,23252.6667,23246.3226,0.8473
4300.591475,23252.6155,23246.2714,0.81998
4300.600952,23252.5643,23246.2201,0.80863
4300.610429,23252.513,23246.1689,0.80817
4300.619906,23252.4618,23246.1177,0.81587
4300.629383,23252.4105,23246.0665,0.84208
4300.63886,23252.3593,23246.0152,0.88292
4300.648337,23252.3081,23245.964,0.9099
4300.657814,23252.2568,23245.9128,0.91032
4300.667291,23252.2056,23245.8616,0.8995
4300.676769,23252.1543,23245.8103,0.88193
4300.686246,23252.1031,23245.7591,0.8533
4300.695723,23252.0519,23245.7079,0.83506
4300.7052,23252.0006,23245.6567,0.8495
4300.714677,23251.9494,23245.6054,0.88213
4300.724154,23251.8981,23245.5542,0.91015
4300.733631,23251.8469,23245.503,0.93127
4300.743108,23251.7957,23245.4518,0.94588
4300.752585,23251.7444,23245.4005,0.95183
4300.762062,23251.6932,23245.3493,0.95583
4300.771539,23251.642,23245.2981,0.9621
4300.781017,23251.5907,23245.2469,0.9656
4300.790494,23251.5395,23245.1957,0.9653
4300.799971,23251.4883,23245.1444,0.9633
4300.809448,23251.437,23245.0932,0.95665
4300.818925,23251.3858,23245.042,0.94368
4300.828402,23251.3345,23244.9908,0.92686
4300.837879,23251.2833,23244.9395,0.90972
4300.847356,23251.2321,23244.8883,0.89942
4300.856833,23251.1808,23244.8371,0.90093
4300.86631,23251.1296,23244.7859,0.90982
4300.875787,23251.0784,23244.7347,0.92221
4300.885265,23251.0271,23244.6834,0.93686
4300.894742,23250.9759,23244.6322,0.94487
4300.904219,23250.9247,23244.581,0.94187
4300.913696,23250.8734,23244.5298,0.93661
4300.923173,23250.8222,23244.4786,0.92662
4300.93265,23250.771,23244.4273,0.90147
4300.942127,23250.7197,23244.3761,0.88063
4300.951604,23250.6685,23244.3249,0.89352
4300.961081,23250.6173,23244.2737,0.92665
4300.970558,23250.566,23244.2225,0.94694
4300.980036,23250.5148,23244.1712,0.95375
4300.989513,23250.4636,23244.12,0.96109
4300.99899,23250.4123,23244.0688,0.96675
4301.008467,23250.3611,23244.0176,0.96788
4301.017944,23250.3099,23243.9664,0.96972
