wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3870.00370,3871.10080,0.77150,161.32000
3870.00790,3871.10500,0.76830,160.66000
3870.01250,3871.10960,0.75871,158.65000
3870.01710,3871.11420,0.74279,155.32000
3870.02140,3871.11850,0.72066,150.69000
3870.02590,3871.12300,0.69265,144.84000
3870.03050,3871.12770,0.65941,137.89000
3870.03480,3871.13200,0.62204,130.07000
3870.03940,3871.13660,0.58206,121.71000
3870.04360,3871.14080,0.54132,113.19000
3870.04820,3871.14540,0.50174,104.92000
3870.05280,3871.15000,0.46511,97.26000
3870.05710,3871.15430,0.43292,90.52000
3870.06160,3871.15880,0.40619,84.94000
3870.06620,3871.16340,0.38542,80.59000
3870.07050,3871.16770,0.37058,77.49000
3870.07510,3871.17230,0.36110,75.51000
3870.07930,3871.17650,0.35595,74.43000
3870.08390,3871.18110,0.35371,73.96000
3870.08850,3871.18570,0.35279,73.77000
3870.09280,3871.19000,0.35166,73.53000
3870.09740,3871.19460,0.34907,72.99000
3870.10190,3871.19910,0.34423,71.98000
3870.10620,3871.20340,0.33686,70.44000
3870.11080,3871.20800,0.32717,68.41000
3870.11510,3871.21230,0.31568,66.01000
3870.11960,3871.21680,0.30313,63.38000
3870.12420,3871.22140,0.29024,60.69000
3870.12850,3871.22570,0.27769,58.07000
3870.13310,3871.23030,0.26603,55.63000
3870.13760,3871.23480,0.25566,53.46000
3870.14190,3871.23910,0.24692,51.63000
3870.14650,3871.24370,0.24008,50.20000
3870.15080,3871.24800,0.23542,49.23000
3870.15530,3871.25250,0.23326,48.77000
3870.15990,3871.25710,0.23403,48.94000
3870.16420,3871.26140,0.23824,49.82000
3870.16880,3871.26600,0.24654,51.55000
3870.17330,3871.27050,0.25970,54.30000
3870.17760,3871.27480,0.27850,58.23000
3870.18220,3871.27940,0.30359,63.48000
3870.18650,3871.28370,0.33523,70.10000
3870.19100,3871.28820,0.37314,78.02000
3870.19560,3871.29280,0.41626,87.04000
3870.19990,3871.29710,0.46284,96.78000
3870.20450,3871.30170,0.51056,106.76000
3870.20900,3871.30620,0.55688,116.44000
3870.21330,3871.31050,0.59938,125.33000
3870.21790,3871.31510,0.63598,132.98000
3870.22220,3871.31940,0.66508,139.07000
3870.22670,3871.32390,0.68563,143.36000
3870.23130,3871.32850,0.69702,145.74000
3870.23560,3871.33280,0.69913,146.19000
3870.24020,3871.33740,0.69228,144.75000
3870.24480,3871.34200,0.67733,141.63000
3870.24900,3871.34620,0.65561,137.08000
3870.25360,3871.35080,0.62889,131.50000
3870.25820,3871.35540,0.59926,125.30000
3870.26250,3871.35970,0.56886,118.95000
3870.26700,3871.36420,0.53978,112.87000
3870.27130,3871.36850,0.51379,107.43000
3870.27590,3871.37310,0.49224,102.92000
3870.28050,3871.37770,0.47584,99.50000
3870.28470,3871.38190,0.46468,97.16000
3870.28930,3871.38650,0.45811,95.79000
3870.29390,3871.39110,0.45490,95.12000
3870.29820,3871.39540,0.45345,94.81000
3870.30270,3871.39990,0.45205,94.52000
3870.30700,3871.40420,0.44919,93.92000
3870.31160,3871.40880,0.44387,92.81000
3870.31620,3871.41340,0.43569,91.10000
3870.32040,3871.41760,0.42486,88.83000
3870.32500,3871.42220,0.41207,86.16000
3870.32960,3871.42680,0.39832,83.29000
3870.33390,3871.43110,0.38471,80.44000
3870.33840,3871.43560,0.37222,77.83000
3870.34270,3871.43990,0.36168,75.62000
3870.34730,3871.44450,0.35363,73.94000
3870.35190,3871.44910,0.34845,72.86000
3870.35610,3871.45330,0.34631,72.41000
3870.36070,3871.45790,0.34727,72.61000
3870.36530,3871.46250,0.35137,73.47000
3870.36960,3871.46680,0.35867,74.99000
3870.37410,3871.47130,0.36924,77.20000
3870.37840,3871.47560,0.38324,80.13000
3870.38300,3871.48020,0.40077,83.80000
3870.38760,3871.48480,0.42184,88.20000
3870.39180,3871.48900,0.44619,93.29000
3870.39640,3871.49360,0.47319,98.94000
3870.40100,3871.49820,0.50170,104.90000
3870.40530,3871.50250,0.53014,110.85000
3870.40990,3871.50710,0.55655,116.37000
3870.41410,3871.51140,0.57883,121.03000
3870.41870,3871.51600,0.59498,124.40000
3870.42330,3871.52060,0.60337,126.16000
3870.42760,3871.52490,0.60291,126.06000
3870.43210,3871.52940,0.59324,124.04000
3870.43670,3871.53400,0.57475,120.17000
3870.44100,3871.53830,0.54857,114.70000
3870.44560,3871.54290,0.51646,107.99000
3870.44980,3871.54710,0.48061,100.49000
3870.45440,3871.55170,0.44340,92.71000
3870.45900,3871.55630,0.40712,85.12000
3870.46330,3871.56060,0.37376,78.15000
3870.46780,3871.56510,0.34486,72.11000
3870.47240,3871.56970,0.32144,67.21000
3870.47670,3871.57400,0.30397,63.56000
3870.48130,3871.57860,0.29243,61.14000
3870.48580,3871.58310,0.28629,59.86000
3870.49010,3871.58740,0.28463,59.51000
3870.49470,3871.59200,0.28617,59.83000
3870.49900,3871.59630,0.28948,60.53000
3870.50350,3871.60080,0.29321,61.31000
3870.50810,3871.60540,0.29623,61.94000
3870.51240,3871.60970,0.29789,62.28000
3870.51700,3871.61430,0.29796,62.30000
3870.52150,3871.61880,0.29670,62.04000
3870.52580,3871.62310,0.29461,61.60000
3870.53040,3871.62770,0.29238,61.13000
3870.53470,3871.63200,0.29068,60.78000
3870.53920,3871.63650,0.29014,60.66000
3870.54380,3871.64110,0.29128,60.90000
3870.54810,3871.64540,0.29449,61.57000
3870.55270,3871.65000,0.30002,62.73000
3870.55730,3871.65460,0.30802,64.40000
3870.56150,3871.65880,0.31859,66.61000
3870.56610,3871.66340,0.33177,69.37000
3870.57040,3871.66770,0.34762,72.68000
3870.57500,3871.67230,0.36617,76.56000
3870.57950,3871.67680,0.38732,80.98000
3870.58380,3871.68110,0.41077,85.88000
3870.58840,3871.68570,0.43582,91.12000
3870.59300,3871.69030,0.46135,96.46000
3870.59720,3871.69450,0.48577,101.57000
3870.60180,3871.69910,0.50715,106.04000
3870.60640,3871.70370,0.52348,109.45000
3870.61070,3871.70800,0.53290,111.42000
3870.61520,3871.71250,0.53410,111.67000
3870.61950,3871.71680,0.52656,110.09000
