wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3350.00120,3350.96420,0.76987,122.60000
3350.00520,3350.96820,0.76950,122.54000
3350.00920,3350.97220,0.76868,122.41000
3350.01310,3350.97610,0.76740,122.21000
3350.01710,3350.98010,0.76552,121.91000
3350.02110,3350.98410,0.76285,121.48000
3350.02470,3350.98770,0.75913,120.89000
3350.02870,3350.99170,0.75412,120.09000
3350.03270,3350.99570,0.74762,119.06000
3350.03660,3350.99960,0.73955,117.77000
3350.04060,3351.00360,0.72993,116.24000
3350.04460,3351.00760,0.71893,114.49000
3350.04850,3351.01150,0.70688,112.57000
3350.05250,3351.01550,0.69435,110.58000
3350.05650,3351.01950,0.68206,108.62000
3350.06040,3351.02340,0.67078,106.83000
3350.06440,3351.02740,0.66127,105.31000
3350.06840,3351.03140,0.65406,104.16000
3350.07230,3351.03530,0.64939,103.42000
3350.07630,3351.03930,0.64721,103.07000
3350.08030,3351.04330,0.64723,103.08000
3350.08420,3351.04720,0.64902,103.36000
3350.08820,3351.05120,0.65214,103.86000
3350.09220,3351.05520,0.65620,104.51000
3350.09610,3351.05910,0.66084,105.25000
3350.10010,3351.06310,0.66573,106.03000
3350.10410,3351.06710,0.67053,106.79000
3350.10800,3351.07100,0.67485,107.48000
3350.11200,3351.07500,0.67828,108.03000
3350.11600,3351.07900,0.68038,108.36000
3350.11990,3351.08290,0.68076,108.42000
3350.12390,3351.08700,0.67900,108.14000
3350.12790,3351.09100,0.67472,107.46000
3350.13180,3351.09490,0.66760,106.33000
3350.13580,3351.09890,0.65736,104.70000
3350.13980,3351.10290,0.64376,102.53000
3350.14370,3351.10680,0.62670,99.81000
3350.14770,3351.11080,0.60614,96.54000
3350.15170,3351.11480,0.58215,92.72000
3350.15560,3351.11870,0.55494,88.39000
3350.15960,3351.12270,0.52482,83.59000
3350.16360,3351.12670,0.49220,78.39000
3350.16750,3351.13060,0.45760,72.88000
3350.17150,3351.13460,0.42161,67.15000
3350.17550,3351.13860,0.38486,61.30000
3350.17940,3351.14250,0.34803,55.43000
3350.18340,3351.14650,0.31187,49.67000
3350.18740,3351.15050,0.27718,44.15000
3350.19130,3351.15440,0.24480,38.99000
3350.19530,3351.15840,0.21553,34.33000
3350.19930,3351.16240,0.19010,30.28000
3350.20320,3351.16630,0.16908,26.93000
3350.20720,3351.17030,0.15283,24.34000
3350.21120,3351.17430,0.14155,22.55000
3350.21510,3351.17820,0.13527,21.55000
3350.21910,3351.18220,0.13392,21.33000
3350.22280,3351.18590,0.13727,21.86000
3350.22710,3351.19020,0.14485,23.07000
3350.23070,3351.19380,0.15588,24.83000
3350.23470,3351.19780,0.16927,26.96000
3350.23860,3351.20170,0.18366,29.25000
3350.24260,3351.20570,0.19767,31.49000
3350.24660,3351.20970,0.21008,33.46000
3350.25050,3351.21360,0.22004,35.05000
3350.25450,3351.21760,0.22720,36.19000
3350.25850,3351.22160,0.23158,36.89000
3350.26250,3351.22560,0.23356,37.20000
3350.26640,3351.22950,0.23369,37.22000
3350.27040,3351.23350,0.23273,37.07000
3350.27440,3351.23750,0.23162,36.90000
3350.27830,3351.24140,0.23158,36.89000
3350.28230,3351.24540,0.23401,37.28000
3350.28630,3351.24940,0.24032,38.28000
3350.29020,3351.25330,0.25149,40.06000
3350.29420,3351.25730,0.26778,42.66000
