wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7438.00660,7440.05530,0.99653,131.94000
7438.01640,7440.06510,0.99607,131.88000
7438.02670,7440.07540,0.99629,131.91000
7438.03650,7440.08520,0.99650,131.93000
7438.04690,7440.09560,0.99643,131.92000
7438.05660,7440.10530,0.99648,131.93000
7438.06700,7440.11570,0.99665,131.95000
7438.07680,7440.12550,0.99700,132.00000
7438.08720,7440.13590,0.99729,132.04000
7438.09690,7440.14560,0.99671,131.96000
7438.10730,7440.15600,0.99589,131.85000
7438.11710,7440.16580,0.99624,131.90000
7438.12680,7440.17550,0.99700,132.00000
7438.13720,7440.18590,0.99649,131.93000
7438.14700,7440.19570,0.99544,131.79000
7438.15730,7440.20600,0.99552,131.80000
7438.16710,7440.21580,0.99620,131.89000
7438.17750,7440.22620,0.99596,131.86000
7438.18730,7440.23600,0.99483,131.71000
7438.19760,7440.24630,0.99402,131.60000
7438.20740,7440.25620,0.99363,131.55000
7438.21780,7440.26660,0.99266,131.42000
7438.22750,7440.27630,0.99121,131.23000
7438.23790,7440.28670,0.99042,131.12000
7438.24770,7440.29650,0.99001,131.07000
7438.25740,7440.30620,0.98891,130.92000
7438.26780,7440.31660,0.98770,130.76000
7438.27760,7440.32640,0.98717,130.69000
7438.28800,7440.33680,0.98661,130.62000
7438.29770,7440.34650,0.98585,130.52000
7438.30810,7440.35690,0.98563,130.49000
7438.31790,7440.36670,0.98561,130.48000
7438.32820,7440.37700,0.98562,130.48000
7438.33800,7440.38680,0.98619,130.56000
7438.34840,7440.39720,0.98625,130.57000
7438.35820,7440.40700,0.98486,130.38000
7438.36850,7440.41730,0.98373,130.23000
7438.37830,7440.42710,0.98378,130.24000
7438.38810,7440.43690,0.98355,130.21000
7438.39840,7440.44720,0.98295,130.13000
7438.40820,7440.45700,0.98285,130.12000
7438.41860,7440.46740,0.98268,130.09000
7438.42830,7440.47710,0.98270,130.09000
7438.43870,7440.48750,0.98382,130.24000
7438.44850,7440.49730,0.98475,130.37000
7438.45890,7440.50770,0.98499,130.40000
7438.46860,7440.51740,0.98652,130.60000
7438.47900,7440.52780,0.98857,130.87000
7438.48880,7440.53760,0.98846,130.86000
7438.49850,7440.54730,0.98789,130.78000
7438.50890,7440.55770,0.98942,130.98000
7438.51870,7440.56750,0.99080,131.16000
7438.52910,7440.57790,0.98995,131.05000
7438.53880,7440.58760,0.98915,130.95000
7438.54920,7440.59800,0.98995,131.05000
7438.55900,7440.60780,0.99089,131.18000
7438.56930,7440.61810,0.99119,131.21000
7438.57910,7440.62800,0.99167,131.28000
7438.58950,7440.63840,0.99272,131.42000
7438.59920,7440.64810,0.99391,131.57000
7438.60960,7440.65850,0.99446,131.65000
7438.61940,7440.66830,0.99417,131.61000
7438.62920,7440.67810,0.99418,131.61000
7438.63950,7440.68840,0.99528,131.75000
7438.64930,7440.69820,0.99625,131.88000
7438.65970,7440.70860,0.99590,131.84000
7438.66940,7440.71830,0.99520,131.74000
7438.67980,7440.72870,0.99535,131.76000
7438.68960,7440.73850,0.99554,131.79000
7438.70000,7440.74890,0.99494,131.71000
7438.70970,7440.75860,0.99449,131.65000
