wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
10575.01220,10577.90980,0.97415,66.40000
10575.02440,10577.92200,0.97437,66.42000
10575.03780,10577.93540,0.97511,66.47000
10575.05000,10577.94760,0.97606,66.53000
10575.06350,10577.96110,0.97706,66.60000
10575.07570,10577.97330,0.97819,66.68000
10575.08910,10577.98670,0.97951,66.77000
10575.10250,10578.00010,0.98091,66.86000
10575.11470,10578.01230,0.98223,66.95000
10575.12820,10578.02580,0.98343,67.03000
10575.14040,10578.03800,0.98456,67.11000
10575.15380,10578.05140,0.98564,67.19000
10575.16720,10578.06480,0.98662,67.25000
10575.17940,10578.07710,0.98743,67.31000
10575.19290,10578.09060,0.98805,67.35000
10575.20510,10578.10280,0.98847,67.38000
10575.21850,10578.11620,0.98879,67.40000
10575.23070,10578.12840,0.98915,67.42000
10575.24410,10578.14180,0.98955,67.45000
10575.25760,10578.15530,0.98982,67.47000
10575.26980,10578.16750,0.98980,67.47000
10575.28320,10578.18090,0.98964,67.46000
10575.29540,10578.19310,0.98970,67.46000
10575.30880,10578.20650,0.99006,67.48000
10575.32100,10578.21870,0.99046,67.51000
10575.33450,10578.23220,0.99066,67.53000
10575.34790,10578.24560,0.99075,67.53000
10575.36010,10578.25780,0.99097,67.55000
10575.37350,10578.27120,0.99128,67.57000
10575.38570,10578.28340,0.99141,67.58000
10575.39920,10578.29690,0.99131,67.57000
10575.41260,10578.31030,0.99121,67.56000
10575.42480,10578.32250,0.99129,67.57000
10575.43820,10578.33590,0.99144,67.58000
10575.45040,10578.34810,0.99146,67.58000
10575.46390,10578.36160,0.99139,67.57000
10575.47610,10578.37380,0.99141,67.57000
10575.48950,10578.38720,0.99156,67.58000
10575.50290,10578.40060,0.99164,67.59000
10575.51510,10578.41280,0.99157,67.58000
10575.52860,10578.42630,0.99146,67.58000
10575.54080,10578.43850,0.99146,67.58000
10575.55420,10578.45200,0.99151,67.58000
10575.56640,10578.46420,0.99145,67.58000
10575.57980,10578.47760,0.99125,67.56000
10575.59330,10578.49110,0.99105,67.55000
10575.60550,10578.50330,0.99094,67.54000
10575.61890,10578.51670,0.99093,67.54000
10575.63110,10578.52890,0.99094,67.54000
10575.64450,10578.54230,0.99090,67.54000
10575.65670,10578.55450,0.99075,67.53000
10575.67020,10578.56800,0.99046,67.51000
10575.68360,10578.58140,0.99009,67.48000
10575.69580,10578.59360,0.98982,67.46000
10575.70920,10578.60700,0.98977,67.46000
10575.72140,10578.61920,0.98980,67.46000
10575.73490,10578.63270,0.98970,67.45000
10575.74830,10578.64610,0.98946,67.44000
10575.76050,10578.65830,0.98930,67.43000
10575.77390,10578.67170,0.98943,67.44000
10575.78610,10578.68390,0.98968,67.45000
10575.79960,10578.69740,0.98970,67.45000
10575.81180,10578.70960,0.98936,67.43000
10575.82520,10578.72300,0.98893,67.40000
10575.83860,10578.73640,0.98871,67.39000
10575.85080,10578.74860,0.98868,67.38000
10575.86430,10578.76210,0.98857,67.38000
10575.87650,10578.77430,0.98829,67.36000
10575.88990,10578.78770,0.98802,67.34000
10575.90210,10578.79990,0.98796,67.33000
10575.91550,10578.81340,0.98803,67.34000
10575.92900,10578.82690,0.98806,67.34000
10575.94120,10578.83910,0.98802,67.34000
10575.95460,10578.85250,0.98804,67.34000
10575.96680,10578.86470,0.98823,67.35000
10575.98020,10578.87810,0.98855,67.37000
10575.99370,10578.89160,0.98890,67.40000
10576.00590,10578.90380,0.98921,67.42000
10576.01930,10578.91720,0.98944,67.43000
10576.03150,10578.92940,0.98960,67.44000
10576.04490,10578.94280,0.98976,67.45000
10576.05710,10578.95500,0.99003,67.47000
10576.07060,10578.96850,0.99039,67.50000
10576.08400,10578.98190,0.99068,67.52000
10576.09620,10578.99410,0.99083,67.53000
10576.10960,10579.00750,0.99089,67.53000
10576.12180,10579.01970,0.99105,67.54000
10576.13530,10579.03320,0.99137,67.56000
10576.14750,10579.04540,0.99177,67.59000
10576.16090,10579.05880,0.99207,67.61000
10576.17430,10579.07220,0.99215,67.62000
10576.18650,10579.08440,0.99209,67.61000
10576.20000,10579.09790,0.99204,67.61000
10576.21220,10579.11010,0.99212,67.61000
10576.22560,10579.12350,0.99226,67.62000
10576.23900,10579.13690,0.99232,67.63000
10576.25120,10579.14910,0.99225,67.62000
10576.26460,10579.16250,0.99218,67.62000
10576.27690,10579.17480,0.99223,67.62000
10576.29030,10579.18830,0.99230,67.62000
10576.30250,10579.20050,0.99219,67.62000
10576.31590,10579.21390,0.99188,67.60000
10576.32930,10579.22730,0.99153,67.57000
10576.34160,10579.23960,0.99137,67.56000
10576.35500,10579.25300,0.99147,67.57000
10576.36720,10579.26520,0.99174,67.59000
10576.38060,10579.27860,0.99203,67.60000
10576.39400,10579.29200,0.99219,67.62000
10576.40620,10579.30420,0.99216,67.61000
10576.41970,10579.31770,0.99205,67.61000
10576.43190,10579.32990,0.99205,67.61000
10576.44530,10579.34330,0.99219,67.61000
10576.45750,10579.35550,0.99232,67.62000
10576.47090,10579.36890,0.99229,67.62000
10576.48440,10579.38240,0.99212,67.61000
10576.49660,10579.39460,0.99200,67.60000
10576.51000,10579.40800,0.99203,67.60000
10576.52220,10579.42020,0.99214,67.61000
10576.53560,10579.43360,0.99213,67.61000
10576.54790,10579.44590,0.99190,67.59000
10576.56130,10579.45930,0.99158,67.57000
10576.57470,10579.47270,0.99136,67.56000
10576.58690,10579.48490,0.99134,67.55000
10576.60030,10579.49830,0.99140,67.56000
10576.61250,10579.51050,0.99137,67.56000
10576.62600,10579.52400,0.99127,67.55000
10576.63940,10579.53740,0.99124,67.55000
10576.65160,10579.54970,0.99134,67.55000
10576.66500,10579.56310,0.99139,67.56000
10576.67720,10579.57530,0.99123,67.55000
10576.69070,10579.58880,0.99098,67.53000
10576.70290,10579.60100,0.99085,67.52000
10576.71630,10579.61440,0.99082,67.52000
10576.72970,10579.62780,0.99068,67.51000
10576.74190,10579.64000,0.99042,67.49000
10576.75540,10579.65350,0.99029,67.48000
10576.76760,10579.66570,0.99048,67.49000
10576.78100,10579.67910,0.99082,67.52000
10576.79440,10579.69250,0.99097,67.53000
10576.80660,10579.70470,0.99091,67.52000
10576.82010,10579.71820,0.99085,67.52000
10576.83230,10579.73040,0.99092,67.52000
10576.84570,10579.74380,0.99098,67.53000
10576.85790,10579.75600,0.99094,67.52000
10576.87130,10579.76940,0.99092,67.52000
10576.88480,10579.78290,0.99107,67.53000
10576.89700,10579.79510,0.99122,67.54000
10576.91040,10579.80850,0.99111,67.53000
10576.92260,10579.82070,0.99066,67.50000
10576.93600,10579.83410,0.99006,67.46000
10576.94820,10579.84630,0.98938,67.42000
10576.96170,10579.85980,0.98842,67.35000
10576.97510,10579.87320,0.98690,67.25000
10576.98730,10579.88540,0.98474,67.10000
10577.00070,10579.89880,0.98192,66.91000
10577.01290,10579.91100,0.97828,66.66000
10577.02640,10579.92460,0.97347,66.33000
10577.03980,10579.93800,0.96732,65.91000
10577.05200,10579.95020,0.95987,65.40000
10577.06540,10579.96360,0.95131,64.82000
10577.07760,10579.97580,0.94174,64.17000
10577.09110,10579.98930,0.93135,63.46000
10577.10330,10580.00150,0.92074,62.74000
10577.11670,10580.01490,0.91088,62.07000
10577.13010,10580.02830,0.90278,61.51000
10577.14230,10580.04050,0.89707,61.12000
10577.15580,10580.05400,0.89410,60.92000
10577.16800,10580.06620,0.89410,60.92000
10577.18140,10580.07960,0.89716,61.13000
10577.19480,10580.09300,0.90297,61.53000
10577.20700,10580.10520,0.91074,62.05000
10577.22050,10580.11870,0.91945,62.65000
10577.23270,10580.13090,0.92840,63.26000
10577.24610,10580.14430,0.93716,63.85000
10577.25830,10580.15650,0.94545,64.42000
10577.27170,10580.16990,0.95290,64.93000
10577.28520,10580.18340,0.95935,65.37000
10577.29740,10580.19560,0.96494,65.75000
10577.31080,10580.20900,0.96996,66.09000
10577.32300,10580.22120,0.97447,66.40000
10577.33640,10580.23460,0.97822,66.65000
10577.34990,10580.24810,0.98105,66.84000
10577.36210,10580.26030,0.98317,66.99000
10577.37550,10580.27370,0.98498,67.11000
10577.38770,10580.28590,0.98670,67.23000
10577.40110,10580.29940,0.98820,67.33000
10577.41330,10580.31160,0.98929,67.40000
10577.42680,10580.32510,0.98991,67.45000
10577.44020,10580.33850,0.99019,67.47000
10577.45240,10580.35070,0.99034,67.48000
10577.46580,10580.36410,0.99048,67.48000
10577.47800,10580.37630,0.99062,67.49000
10577.49150,10580.38980,0.99068,67.50000
10577.50370,10580.40200,0.99066,67.50000
10577.51710,10580.41540,0.99067,67.50000
10577.53050,10580.42880,0.99077,67.50000
10577.54270,10580.44100,0.99071,67.50000
10577.55620,10580.45450,0.99008,67.46000
10577.56840,10580.46670,0.98888,67.37000
10577.58180,10580.48010,0.98776,67.30000
10577.59520,10580.49350,0.98752,67.28000
10577.60740,10580.50570,0.98835,67.34000
10577.62080,10580.51910,0.98964,67.43000
10577.63310,10580.53140,0.99064,67.49000
10577.64650,10580.54480,0.99107,67.52000
10577.65870,10580.55700,0.99109,67.52000
10577.67210,10580.57040,0.99091,67.51000
10577.68550,10580.58380,0.99069,67.50000
10577.69780,10580.59610,0.99060,67.49000
10577.71120,10580.60950,0.99073,67.50000
10577.72340,10580.62170,0.99091,67.51000
10577.73680,10580.63510,0.99077,67.50000
10577.75020,10580.64850,0.99026,67.47000
10577.76250,10580.66090,0.98977,67.43000
10577.77590,10580.67430,0.98970,67.43000
10577.78810,10580.68650,0.99004,67.45000
10577.80150,10580.69990,0.99049,67.48000
10577.81370,10580.71210,0.99084,67.50000
10577.82710,10580.72550,0.99114,67.52000
10577.84060,10580.73900,0.99138,67.54000
10577.85280,10580.75120,0.99145,67.55000
10577.86620,10580.76460,0.99134,67.54000
10577.87840,10580.77680,0.99120,67.53000
10577.89180,10580.79020,0.99123,67.53000
10577.90530,10580.80370,0.99137,67.54000
10577.91750,10580.81590,0.99140,67.54000
10577.93090,10580.82930,0.99120,67.53000
10577.94310,10580.84150,0.99081,67.50000
10577.95650,10580.85490,0.99037,67.47000
10577.96880,10580.86720,0.98998,67.44000
10577.98220,10580.88060,0.98967,67.42000
10577.99560,10580.89400,0.98955,67.41000
10578.00780,10580.90620,0.98969,67.42000
10578.02120,10580.91960,0.99010,67.45000
10578.03340,10580.93180,0.99060,67.49000
10578.04690,10580.94530,0.99090,67.51000
10578.06030,10580.95870,0.99083,67.50000
10578.07250,10580.97090,0.99059,67.48000
10578.08590,10580.98430,0.99057,67.48000
10578.09810,10580.99650,0.99093,67.51000
10578.11160,10581.01000,0.99140,67.54000
10578.12380,10581.02220,0.99157,67.55000
10578.13720,10581.03570,0.99143,67.54000
10578.15060,10581.04910,0.99129,67.53000
10578.16280,10581.06130,0.99141,67.54000
10578.17630,10581.07480,0.99163,67.55000
10578.18850,10581.08700,0.99164,67.55000
10578.20190,10581.10040,0.99144,67.54000
10578.21530,10581.11380,0.99127,67.53000
10578.22750,10581.12600,0.99129,67.53000
10578.24100,10581.13950,0.99141,67.54000
10578.25320,10581.15170,0.99140,67.54000
10578.26660,10581.16510,0.99122,67.52000
10578.27880,10581.17730,0.99099,67.51000
10578.29220,10581.19070,0.99079,67.49000
10578.30570,10581.20420,0.99053,67.48000
10578.31790,10581.21640,0.99015,67.45000
10578.33130,10581.22980,0.98973,67.42000
10578.34350,10581.24200,0.98944,67.40000
10578.35690,10581.25540,0.98935,67.40000
10578.37040,10581.26890,0.98937,67.40000
10578.38260,10581.28110,0.98933,67.39000
10578.39600,10581.29450,0.98919,67.38000
10578.40820,10581.30670,0.98904,67.37000
10578.42160,10581.32010,0.98892,67.37000
10578.43380,10581.33230,0.98883,67.36000
10578.44730,10581.34580,0.98877,67.36000
10578.46070,10581.35920,0.98884,67.36000
10578.47290,10581.37140,0.98908,67.38000
10578.48630,10581.38480,0.98940,67.40000
10578.49850,10581.39710,0.98961,67.41000
10578.51200,10581.41060,0.98971,67.42000
10578.52540,10581.42400,0.98983,67.43000
10578.53760,10581.43620,0.99001,67.44000
10578.55100,10581.44960,0.99010,67.44000
10578.56320,10581.46180,0.98997,67.44000
10578.57670,10581.47530,0.98966,67.41000
10578.59010,10581.48870,0.98938,67.40000
10578.60230,10581.50090,0.98919,67.38000
10578.61570,10581.51430,0.98906,67.37000
10578.62790,10581.52650,0.98894,67.36000
10578.64140,10581.54000,0.98883,67.36000
10578.65360,10581.55220,0.98867,67.35000
10578.66700,10581.56560,0.98840,67.33000
10578.68040,10581.57900,0.98812,67.31000
10578.69260,10581.59120,0.98803,67.30000
10578.70610,10581.60470,0.98819,67.31000
10578.71830,10581.61690,0.98837,67.32000
10578.73170,10581.63030,0.98841,67.33000
10578.74510,10581.64370,0.98847,67.33000
10578.75730,10581.65590,0.98882,67.35000
10578.77080,10581.66940,0.98934,67.39000
10578.78300,10581.68160,0.98961,67.41000
10578.79640,10581.69500,0.98947,67.40000
10578.80860,10581.70720,0.98924,67.38000
10578.82200,10581.72060,0.98929,67.39000
10578.83540,10581.73400,0.98952,67.40000
10578.84770,10581.74630,0.98949,67.40000
10578.86110,10581.75970,0.98910,67.37000
10578.87330,10581.77200,0.98875,67.35000
10578.88670,10581.78540,0.98881,67.35000
10578.90010,10581.79880,0.98911,67.37000
10578.91240,10581.81110,0.98928,67.38000
10578.92580,10581.82450,0.98932,67.39000
10578.93800,10581.83670,0.98957,67.40000
10578.95140,10581.85010,0.99014,67.44000
10578.96360,10581.86230,0.99065,67.48000
10578.97710,10581.87580,0.99073,67.48000
10578.99050,10581.88920,0.99049,67.47000
10579.00270,10581.90140,0.99038,67.46000
10579.01610,10581.91480,0.99057,67.47000
10579.02830,10581.92700,0.99078,67.48000
10579.04170,10581.94040,0.99072,67.48000
10579.05520,10581.95390,0.99050,67.47000
10579.06740,10581.96610,0.99040,67.46000
10579.08080,10581.97950,0.99051,67.47000
10579.09300,10581.99170,0.99071,67.48000
10579.10640,10582.00510,0.99088,67.49000
10579.11870,10582.01740,0.99106,67.50000
10579.13210,10582.03080,0.99127,67.52000
10579.14550,10582.04420,0.99141,67.53000
10579.15770,10582.05640,0.99139,67.52000
10579.17110,10582.06980,0.99123,67.51000
10579.18330,10582.08200,0.99097,67.50000
10579.19680,10582.09550,0.99062,67.47000
10579.21020,10582.10890,0.99020,67.44000
10579.22240,10582.12110,0.98985,67.42000
10579.23580,10582.13460,0.98967,67.41000
10579.24800,10582.14680,0.98958,67.40000
10579.26150,10582.16030,0.98938,67.39000
10579.27490,10582.17370,0.98895,67.36000
10579.28710,10582.18590,0.98836,67.32000
10579.30050,10582.19930,0.98773,67.27000
10579.31270,10582.21150,0.98703,67.23000
10579.32620,10582.22500,0.98613,67.16000
10579.33840,10582.23720,0.98503,67.09000
10579.35180,10582.25060,0.98393,67.01000
10579.36520,10582.26400,0.98310,66.96000
10579.37740,10582.27620,0.98263,66.92000
10579.39090,10582.28970,0.98244,66.91000
10579.40310,10582.30190,0.98244,66.91000
10579.41650,10582.31530,0.98263,66.92000
10579.42990,10582.32870,0.98300,66.95000
10579.44210,10582.34090,0.98350,66.98000
10579.45560,10582.35440,0.98408,67.02000
10579.46780,10582.36660,0.98471,67.07000
10579.48120,10582.38000,0.98539,67.11000
10579.49340,10582.39220,0.98607,67.16000
10579.50680,10582.40560,0.98670,67.20000
10579.52030,10582.41910,0.98732,67.24000
10579.53250,10582.43130,0.98792,67.28000
10579.54590,10582.44470,0.98841,67.32000
10579.55810,10582.45690,0.98866,67.33000
10579.57150,10582.47030,0.98867,67.33000
10579.58500,10582.48380,0.98861,67.33000
10579.59720,10582.49600,0.98861,67.33000
10579.61060,10582.50950,0.98856,67.33000
10579.62280,10582.52170,0.98832,67.31000
10579.63620,10582.53510,0.98793,67.28000
10579.64970,10582.54860,0.98755,67.26000
10579.66190,10582.56080,0.98727,67.24000
