wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
4244.00270,4245.19770,0.89691,215.17000
4244.01280,4245.20780,0.89941,215.77000
4244.02250,4245.21750,0.89911,215.70000
4244.03260,4245.22760,0.89633,215.03000
4244.04240,4245.23740,0.89284,214.19000
4244.05240,4245.24740,0.89100,213.75000
4244.06220,4245.25720,0.89240,214.09000
4244.07230,4245.26730,0.89798,215.43000
4244.08200,4245.27700,0.90819,217.88000
4244.09210,4245.28710,0.92166,221.11000
4244.10220,4245.29720,0.93577,224.50000
4244.11190,4245.30690,0.94901,227.67000
4244.12200,4245.31700,0.96091,230.53000
4244.13180,4245.32680,0.97057,232.85000
4244.14180,4245.33680,0.97727,234.46000
4244.15160,4245.34660,0.98122,235.40000
4244.16170,4245.35670,0.98238,235.68000
4244.17180,4245.36680,0.97981,235.07000
4244.18150,4245.37650,0.97234,233.27000
4244.19160,4245.38660,0.95869,230.00000
4244.20140,4245.39640,0.93787,225.01000
4244.21140,4245.40640,0.91053,218.45000
4244.22120,4245.41620,0.87985,211.09000
4244.23130,4245.42630,0.85150,204.29000
4244.24130,4245.43630,0.83221,199.66000
4244.25110,4245.44610,0.82579,198.12000
4244.26120,4245.45620,0.82981,199.08000
4244.27090,4245.46590,0.83743,200.91000
4244.28100,4245.47600,0.84213,202.04000
4244.29080,4245.48590,0.84055,201.66000
4244.30080,4245.49590,0.83314,199.89000
4244.31090,4245.50600,0.82338,197.54000
4244.32070,4245.51580,0.81535,195.62000
4244.33070,4245.52580,0.81113,194.61000
4244.34050,4245.53560,0.81054,194.47000
4244.35060,4245.54570,0.81190,194.79000
4244.36040,4245.55550,0.81299,195.05000
4244.37040,4245.56550,0.81246,194.93000
4244.38050,4245.57560,0.81079,194.53000
4244.39030,4245.58540,0.80998,194.33000
4244.40030,4245.59540,0.81271,194.99000
4244.41010,4245.60520,0.82122,197.03000
4244.42020,4245.61530,0.83614,200.61000
4244.42990,4245.62500,0.85620,205.43000
4244.44000,4245.63510,0.87896,210.89000
4244.45010,4245.64520,0.90152,216.30000
4244.45980,4245.65490,0.92142,221.08000
4244.46990,4245.66500,0.93747,224.93000
4244.47970,4245.67480,0.94954,227.82000
4244.48970,4245.68480,0.95791,229.83000
4244.49950,4245.69460,0.96327,231.12000
4244.50960,4245.70470,0.96667,231.94000
4244.51970,4245.71480,0.96902,232.50000
4244.52940,4245.72450,0.97096,232.97000
4244.53950,4245.73460,0.97309,233.48000
4244.54930,4245.74440,0.97565,234.09000
4244.55930,4245.75440,0.97842,234.76000
4244.56910,4245.76420,0.98132,235.45000
4244.57920,4245.77430,0.98432,236.17000
4244.58920,4245.78430,0.98705,236.83000
4244.59900,4245.79410,0.98917,237.34000
4244.60910,4245.80420,0.99062,237.69000
4244.61880,4245.81390,0.99122,237.83000
4244.62890,4245.82400,0.99056,237.68000
4244.63870,4245.83380,0.98847,237.17000
4244.64870,4245.84380,0.98477,236.29000
4244.65880,4245.85390,0.97882,234.86000
4244.66860,4245.86380,0.97043,232.85000
4244.67860,4245.87380,0.96090,230.56000
4244.68840,4245.88360,0.95254,228.56000
4244.69850,4245.89370,0.94733,227.31000
4244.70860,4245.90380,0.94599,226.99000
4244.71830,4245.91350,0.94716,227.27000
4244.72840,4245.92360,0.94750,227.35000
4244.73820,4245.93340,0.94388,226.48000
4244.74820,4245.94340,0.93540,224.45000
4244.75800,4245.95320,0.92333,221.55000
4244.76810,4245.96330,0.91025,218.41000
4244.77810,4245.97330,0.89951,215.84000
4244.78790,4245.98310,0.89394,214.50000
4244.79800,4245.99320,0.89439,214.61000
4244.80770,4246.00290,0.89975,215.90000
4244.81780,4246.01300,0.90828,217.94000
4244.82760,4246.02280,0.91861,220.42000
4244.83760,4246.03280,0.93004,223.17000
4244.84770,4246.04290,0.94191,226.02000
4244.85750,4246.05270,0.95294,228.66000
4244.86760,4246.06280,0.96192,230.82000
4244.87730,4246.07250,0.96891,232.50000
4244.88740,4246.08260,0.97443,233.82000
4244.89750,4246.09270,0.97838,234.77000
4244.90720,4246.10240,0.98066,235.32000
4244.91730,4246.11250,0.98187,235.61000
4244.92710,4246.12230,0.98249,235.76000
4244.93710,4246.13230,0.98217,235.68000
4244.94690,4246.14210,0.98041,235.26000
4244.95700,4246.15220,0.97723,234.50000
4244.96700,4246.16220,0.97289,233.46000
4244.97680,4246.17200,0.96687,232.01000
4244.98690,4246.18210,0.95737,229.73000
4244.99660,4246.19180,0.94240,226.14000
4245.00670,4246.20190,0.92108,221.03000
4245.01650,4246.21170,0.89336,214.38000
4245.02660,4246.22180,0.85974,206.31000
4245.03660,4246.23180,0.82254,197.38000
4245.04640,4246.24170,0.78590,188.59000
4245.05650,4246.25180,0.75418,180.98000
4245.06620,4246.26150,0.73102,175.42000
4245.07630,4246.27160,0.71920,172.59000
4245.08640,4246.28170,0.71975,172.72000
4245.09610,4246.29140,0.73160,175.56000
4245.10620,4246.30150,0.75209,180.48000
4245.11600,4246.31130,0.77712,186.49000
4245.12600,4246.32130,0.80199,192.46000
4245.13580,4246.33110,0.82317,197.54000
4245.14590,4246.34120,0.83817,201.14000
4245.15590,4246.35120,0.84437,202.63000
4245.16570,4246.36100,0.83901,201.34000
4245.17580,4246.37110,0.81854,196.43000
4245.18550,4246.38080,0.77698,186.46000
4245.19560,4246.39090,0.70896,170.13000
4245.20570,4246.40100,0.61565,147.74000
4245.21550,4246.41080,0.50603,121.44000
4245.22550,4246.42080,0.39361,94.46000
4245.23530,4246.43060,0.29367,70.48000
4245.24540,4246.44070,0.21910,52.58000
4245.25510,4246.45040,0.17529,42.07000
4245.26520,4246.46050,0.16104,38.65000
4245.27530,4246.47060,0.17367,41.68000
4245.28500,4246.48030,0.20735,49.76000
4245.29510,4246.49040,0.24726,59.34000
4245.30490,4246.50020,0.27355,65.65000
4245.31490,4246.51020,0.27522,66.05000
4245.32500,4246.52030,0.25726,61.74000
4245.33480,4246.53010,0.23464,56.31000
4245.34480,4246.54010,0.22441,53.86000
4245.35460,4246.54990,0.24324,58.37000
4245.36470,4246.56000,0.30297,72.71000
4245.37450,4246.56980,0.40125,96.30000
4245.38450,4246.57980,0.51917,124.60000
4245.39460,4246.58990,0.63314,151.95000
4245.40440,4246.59970,0.72868,174.88000
4245.41440,4246.60970,0.80264,192.63000
4245.42420,4246.61950,0.85718,205.72000
4245.43430,4246.62970,0.89528,214.86000
4245.44430,4246.63970,0.91999,220.79000
4245.45410,4246.64950,0.93437,224.24000
4245.46420,4246.65960,0.94093,225.82000
4245.47390,4246.66930,0.94147,225.95000
4245.48400,4246.67940,0.93813,225.15000
4245.49410,4246.68950,0.93398,224.15000
4245.50380,4246.69920,0.93185,223.64000
4245.51390,4246.70930,0.93313,223.95000
4245.52370,4246.71910,0.93765,225.04000
4245.53380,4246.72920,0.94387,226.53000
4245.54350,4246.73890,0.94945,227.87000
4245.55360,4246.74900,0.95296,228.71000
4245.56370,4246.75910,0.95488,229.17000
4245.57340,4246.76880,0.95643,229.55000
4245.58350,4246.77890,0.95860,230.07000
4245.59330,4246.78870,0.96178,230.83000
4245.60330,4246.79870,0.96513,231.64000
4245.61340,4246.80880,0.96747,232.20000
4245.62320,4246.81860,0.96903,232.57000
4245.63320,4246.82860,0.97079,233.00000
4245.64300,4246.83840,0.97285,233.49000
4245.65310,4246.84850,0.97509,234.03000
4245.66310,4246.85850,0.97774,234.67000
4245.67290,4246.86830,0.98022,235.26000
4245.68300,4246.87840,0.98165,235.61000
4245.69270,4246.88810,0.98208,235.71000
4245.70280,4246.89820,0.98155,235.58000
4245.71290,4246.90830,0.97926,235.03000
4245.72270,4246.91810,0.97523,234.07000
4245.73270,4246.92810,0.97042,232.91000
4245.74250,4246.93790,0.96520,231.66000
4245.75260,4246.94800,0.95955,230.31000
4245.76230,4246.95770,0.95418,229.02000
4245.77240,4246.96780,0.94964,227.93000
4245.78250,4246.97790,0.94608,227.07000
4245.79220,4246.98760,0.94423,226.63000
4245.80230,4246.99770,0.94470,226.74000
4245.81210,4247.00760,0.94659,227.20000
4245.82210,4247.01760,0.94796,227.53000
4245.83220,4247.02770,0.94684,227.26000
4245.84200,4247.03750,0.94121,225.91000
4245.85210,4247.04760,0.92978,223.17000
4245.86180,4247.05730,0.91379,219.33000
4245.87190,4247.06740,0.89698,215.30000
4245.88200,4247.07750,0.88344,212.05000
4245.89170,4247.08720,0.87569,210.19000
4245.90180,4247.09730,0.87400,209.78000
4245.91160,4247.10710,0.87667,210.42000
4245.92160,4247.11710,0.88018,211.27000
4245.93170,4247.12720,0.87938,211.07000
4245.94150,4247.13700,0.86833,208.42000
4245.95150,4247.14700,0.84215,202.14000
4245.96130,4247.15680,0.79872,191.72000
4245.97140,4247.16690,0.73916,177.42000
4245.98140,4247.17690,0.66793,160.32000
4245.99120,4247.18670,0.59323,142.39000
4246.00130,4247.19680,0.52675,126.44000
4246.01100,4247.20650,0.47964,115.13000
4246.02110,4247.21660,0.45457,109.11000
4246.03120,4247.22670,0.44118,105.90000
4246.04100,4247.23650,0.42238,101.39000
4246.05100,4247.24650,0.38723,92.95000
4246.06080,4247.25630,0.33836,81.22000
4246.07090,4247.26640,0.28859,69.27000
4246.08090,4247.27640,0.25394,60.95000
4246.09070,4247.28620,0.25018,60.05000
4246.10080,4247.29630,0.28993,69.59000
4246.11050,4247.30600,0.37510,90.04000
4246.12060,4247.31610,0.49091,117.84000
4246.13070,4247.32620,0.61221,146.95000
4246.14040,4247.33590,0.71846,172.46000
4246.15050,4247.34600,0.80165,192.43000
4246.16030,4247.35580,0.86240,207.01000
4246.17030,4247.36580,0.90399,217.00000
4246.18040,4247.37590,0.93061,223.39000
4246.19020,4247.38580,0.94669,227.25000
4246.20030,4247.39590,0.95563,229.39000
4246.21000,4247.40560,0.96011,230.47000
4246.22010,4247.41570,0.96274,231.10000
4246.22990,4247.42550,0.96546,231.75000
4246.23990,4247.43550,0.96869,232.53000
4246.25000,4247.44560,0.97213,233.36000
4246.25980,4247.45540,0.97553,234.17000
4246.26980,4247.46540,0.97844,234.87000
4246.27990,4247.47550,0.98034,235.33000
4246.28970,4247.48530,0.98138,235.58000
4246.29970,4247.49530,0.98210,235.75000
4246.30950,4247.50510,0.98235,235.81000
4246.31960,4247.51520,0.98134,235.57000
4246.32970,4247.52530,0.97869,234.94000
4246.33940,4247.53500,0.97453,233.94000
4246.34950,4247.54510,0.96883,232.57000
4246.35930,4247.55490,0.96112,230.72000
4246.36930,4247.56490,0.95137,228.38000
4246.37940,4247.57500,0.94125,225.95000
4246.38920,4247.58480,0.93394,224.20000
4246.39920,4247.59480,0.93181,223.69000
4246.40900,4247.60460,0.93489,224.43000
4246.41910,4247.61470,0.94177,226.08000
4246.42910,4247.62470,0.95045,228.16000
4246.43890,4247.63450,0.95839,230.07000
4246.44900,4247.64460,0.96361,231.32000
4246.45870,4247.65430,0.96577,231.84000
4246.46880,4247.66440,0.96540,231.76000
4246.47890,4247.67450,0.96314,231.21000
4246.48860,4247.68420,0.96025,230.52000
4246.49870,4247.69430,0.95806,230.00000
4246.50850,4247.70410,0.95709,229.76000
4246.51860,4247.71420,0.95749,229.86000
4246.52860,4247.72420,0.95890,230.20000
