filename,date_obs,setting,wl_min_A,wl_max_A,resolution_R,snr,berv_applied_kms,covers_OI_7771,oi_telluric_verdict,oi_anchor,program_id
ADP.2021-08-27T05:08:20.555.fits,2002-02-27,RED860,6649.9,10425.3,74450.0,196.2787,-19.3067,True,EXCLUDE,False,266.D-5655(A)
ADP.2021-08-27T05:08:20.607.fits,2002-02-27,RED860,6649.9,10425.3,74450.0,178.1438,-19.3036,True,EXCLUDE,False,266.D-5655(A)
ADP.2021-08-27T05:08:19.964.fits,2002-02-27T02:26:59.931,RED580,4726.5,6834.6,74450.0,410.9738,-19.2921,False,,False,266.D-5655(A)
ADP.2021-08-27T05:08:20.110.fits,2002-02-27T02:27:00.595,BLUE346,3043.2,3915.9,65030.0,137.983,-19.2921,False,,False,266.D-5655(A)
ADP.2021-08-27T05:08:20.354.fits,2002-02-27T02:29:14.772,RED580,4726.5,6834.6,74450.0,420.7089,-19.2968,False,,False,266.D-5655(A)
ADP.2021-08-27T05:08:20.049.fits,2002-02-27T02:29:19.590,BLUE346,3043.2,3915.9,65030.0,326.0128,-19.2969,False,,False,266.D-5655(A)
ADP.2021-08-27T05:08:20.505.fits,2002-02-27T02:32:31.820,BLUE437,3730.9,4998.9,65030.0,647.5347,-19.3036,False,,False,266.D-5655(A)
ADP.2021-08-27T05:08:20.242.fits,2002-02-27T02:34:01.773,BLUE437,3730.9,4998.9,65030.0,645.1262,-19.3067,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.339.fits,2002-10-08,RED860,6650.9,10427.0,74450.0,284.363207874948,28.3975,True,CORRECTABLE,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.361.fits,2002-10-08,RED860,6650.9,10427.0,74450.0,222.5447,28.3999,True,CORRECTABLE,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.198.fits,2002-10-08T09:35:26.081,RED580,4727.3,6835.7,74450.0,395.2267,28.4144,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.394.fits,2002-10-08T09:35:26.659,BLUE346,3043.7,3916.6,65030.0,134.5744,28.4144,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.216.fits,2002-10-08T09:37:08.473,RED580,4727.3,6835.7,74450.0,420.395243591046,28.4116,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.276.fits,2002-10-08T09:37:09.038,BLUE346,3043.7,3916.6,65030.0,193.782224417879,28.4116,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.260.fits,2002-10-08T09:40:56.360,RED580,4727.3,6835.7,74450.0,413.7028,28.4055,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.202.fits,2002-10-08T09:44:22.181,BLUE437,3731.5,4999.7,65030.0,353.1075,28.3999,False,,False,266.D-5655(A)
ADP.2020-08-10T12:01:00.413.fits,2002-10-08T09:45:45.837,BLUE437,3731.5,4999.7,65030.0,229.136772672844,28.3976,False,,False,266.D-5655(A)
ADP.2020-07-17T12:58:32.005.fits,2005-03-18T00:57:02.098,RED600,4959.0,7070.0,107200.0,387.212375239149,-25.122,False,,False,074.C-0043(A)
ADP.2020-07-17T12:58:32.049.fits,2005-03-18T01:03:12.511,RED600,4959.0,7070.0,107200.0,271.736721447394,-25.1344,False,,False,074.C-0043(A)
